date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:20:43	111040/111040	---MCZ	200	added ('OK')	application/json	date:Mon,%2012%20Aug%202024%2006:50:43%20GMT	https://nuss.uxper.co/boutique-hotel/wp-json/wp/v2/pages/4450	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-json/wp/v2/pages/4450.json	(from https://nuss.uxper.co/boutique-hotel/room-list/)
12:20:44	748/748	---MCZ	200	added ('OK')	text/css	date:Wed,%2008%20May%202024%2008:58:39%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/cache/autoptimize/2/css/autoptimize_single_49c611897905c09435bfed21f439947b.css	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/cache/autoptimize/2/css/autoptimize_single_49c611897905c09435bfed21f439947b.css	(from https://nuss.uxper.co/boutique-hotel/room-ziczac/)
12:20:44	150038/150038	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Aug%202024%2006:50:44%20GMT	https://nuss.uxper.co/boutique-hotel/room-list/page/2/	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/room-list/page/2/index.html	(from https://nuss.uxper.co/boutique-hotel/room-list/)
12:20:45	110796/110796	---MCZ	200	added ('OK')	application/json	date:Mon,%2012%20Aug%202024%2006:50:45%20GMT	https://nuss.uxper.co/boutique-hotel/wp-json/wp/v2/pages/4462	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-json/wp/v2/pages/4462.json	(from https://nuss.uxper.co/boutique-hotel/room-ziczac/)
12:20:47	158951/158951	---M--	200	added ('OK')	image/jpeg	date:Thu,%2003%20Jun%202021%2004:21:59%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/05/El-Moderne-_Habitaciones29_ALTA-1920x650.jpg	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/05/El-Moderne-_Habitaciones29_ALTA-1920x650.jpg	(from https://nuss.uxper.co/boutique-hotel/ux_room/family-suite/)
12:20:48	82875/82875	---M--	200	added ('OK')	image/jpeg	date:Sat,%2031%20Jul%202021%2017:39:43%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/05/El-Moderne-_Habitaciones35.jpg	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/05/El-Moderne-_Habitaciones35.jpg	(from https://nuss.uxper.co/boutique-hotel/ux_room/family-suite/)
12:20:49	41111/41111	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Jul%202021%2017:43:36%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/05/El-Moderne-_Habitaciones35-500x500.jpg	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/05/El-Moderne-_Habitaciones35-500x500.jpg	(from https://nuss.uxper.co/boutique-hotel/ux_room/family-suite/)
12:20:51	56480/56480	---M--	200	added ('OK')	image/jpeg	date:Sat,%2031%20Jul%202021%2017:39:22%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/05/El-Moderne-_Habitaciones35_ALTA.jpg	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/05/El-Moderne-_Habitaciones35_ALTA.jpg	(from https://nuss.uxper.co/boutique-hotel/ux_room/family-suite/)
12:20:52	23353/23353	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Jul%202021%2017:43:37%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/05/El-Moderne-_Habitaciones35_ALTA-500x500.jpg	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/05/El-Moderne-_Habitaciones35_ALTA-500x500.jpg	(from https://nuss.uxper.co/boutique-hotel/ux_room/family-suite/)
12:20:54	58965/58965	---M--	200	added ('OK')	image/jpeg	date:Sat,%2031%20Jul%202021%2017:42:02%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/05/El-Moderne-_Habitaciones50_ALTA-1.jpg	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/05/El-Moderne-_Habitaciones50_ALTA-1.jpg	(from https://nuss.uxper.co/boutique-hotel/ux_room/family-suite/)
12:20:55	23638/23638	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Jul%202021%2017:43:37%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/05/El-Moderne-_Habitaciones50_ALTA-1-500x500.jpg	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/05/El-Moderne-_Habitaciones50_ALTA-1-500x500.jpg	(from https://nuss.uxper.co/boutique-hotel/ux_room/family-suite/)
12:20:56	52270/52270	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Aug%202021%2010:05:16%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/05/El-Moderne-_Ban%cc%83o06_ALTA-1.jpg	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/05/El-Moderne-_Ban%cc%83o06_ALTA-1.jpg	(from https://nuss.uxper.co/boutique-hotel/ux_room/family-suite/)
12:20:58	21743/21743	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Jul%202021%2017:43:37%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/05/El-Moderne-_Ban%cc%83o06_ALTA-1-500x500.jpg	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/05/El-Moderne-_Ban%cc%83o06_ALTA-1-500x500.jpg	(from https://nuss.uxper.co/boutique-hotel/ux_room/family-suite/)
12:20:58	109653/109653	---M--	200	added ('OK')	image/jpeg	date:Sat,%2031%20Jul%202021%2017:35:22%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/05/El-Moderne-_Habitaciones02_ALTA.jpg	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/05/El-Moderne-_Habitaciones02_ALTA.jpg	(from https://nuss.uxper.co/boutique-hotel/ux_room/family-suite/)
12:21:00	38350/38350	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Jul%202021%2017:48:08%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/05/El-Moderne-_Habitaciones02_ALTA-500x500.jpg	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/05/El-Moderne-_Habitaciones02_ALTA-500x500.jpg	(from https://nuss.uxper.co/boutique-hotel/ux_room/family-suite/)
